00:48:29  BEKCI BASLADI · hedef donemler.js · damga 09-03 18:04:13
01:48:29  ⏳ kosu SURUYOR · 60 dk · 1333 nokta kur:, 19 nokta bit: taşıyor → 545 varlık kırılması
02:48:29  ⏳ kosu SURUYOR · 120 dk · devlet 70/550  geçen 27dk 21sn  iş %13  tahminî kalan 2s 59dk 38sn
03:48:29  ⏳ kosu SURUYOR · 180 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
04:48:29  ⏳ kosu SURUYOR · 240 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
05:48:29  ⏳ kosu SURUYOR · 300 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
06:48:29  ⏳ kosu SURUYOR · 360 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
07:48:29  ⏳ kosu SURUYOR · 420 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
08:48:29  ⏳ kosu SURUYOR · 480 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
09:48:29  ⏳ kosu SURUYOR · 540 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
10:48:30  ⏳ kosu SURUYOR · 600 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
11:48:30  ⏳ kosu SURUYOR · 660 dk · devlet 80/550  geçen 55dk 47sn  iş %38  tahminî kalan 1s 29dk 10sn
12:48:30  🔴 ZAMAN ASIMI · 12.0 saat · donemler.js DEGISMEDI · son satir: devlet 90/550  geçen 10s 12dk 20sn  iş %66  tahminî kalan 5s 17dk 18sn
