// renk_olc.py --oner çıktısı — aktarımdan SONRA:
//   py arac/renk_olc.py --dogrula oneri-20260816-160534.txt
arjantin-cumhuriyeti #2a2ad2
aztek-imparatorlugu #2a30d2
bolivya-cumhuriyeti #2a36d2
brezilya-cumhuriyeti #2a3cd2
brezilya-imparatorlugu #2a42d2
cahokia #2a48d2
cherokee #2a4ed2
chimu-krallik #2a54d2
choctaw #2a60d2
colla-krallik #2a66d2
creek-konfederasyonu #2a6cd2
diaguita-calchaqui-konfederasyonu #2a72d2
dominik-cumhuriyeti #2a78d2
ekvador-cumhuriyeti #2a7ed2
gran-kolombiya #2a84d2
guatemala #2a8ad2
haiti #2a90d2
haudenosaunee #2a96d2
ingiliz-kuzey-amerika #2a9cd2
inka-imparatorlugu #2aa2d2
ispanyol-peru #2aa8d2
kolombiya-cumhuriyeti #2aaed2
kuba-cumhuriyeti #2ab4d2
lupaqa-krallik #2abad2
mapuche-araukanya #2ac0d2
maya-sehir-devletleri #2ac6d2
meksika #2accd2
muisca-konfederasyonu #2ad22a
nahua-sehir-devletleri #2ad230
natchez #2ad236
paraguay-cumhuriyeti #2ad23c
peru-cumhuriyeti #2ad242
portekiz-brezilyasi #2ad248
powhatan #2ad24e
pueblo-bagimsizligi #2ad254
purepecha-imparatorlugu #2ad25a
romanya-kralligi #2ad2ae
sili-cumhuriyeti #2ad260
teksas-cumhuriyeti #2ad266
tututepec-krallik #2ad26c
uruguay-cumhuriyeti #2ad272
venezuela-cumhuriyeti #2ad278
yeni-ispanya #2ad27e
zapotek-krallik #2ad284
