// renk_olc.py --oner çıktısı — aktarımdan SONRA:
//   py arac/renk_olc.py --dogrula oneri-20260903-223128.txt
abenaki #245ad2
adamava #2484d2
adar #248ad2
alutiiq #242ad2
antandroy #2430d2
antemoro #2472d2
aro-konfederasyonu #24b4d2
bagirmi #24aed2
bambara #24d224
bamum #24d296
banda-gbaya #24d22a
basuto #2436d2
bate #2448d2
bemba #249cd2
beothuk #24ccd2
berabis #24d29c
betsileo #24d230
betsimisaraka #24d266
birom-plato #8a24d2
borgu #d23624
buna #d224a2
bundu #2a24d2
bunyoro #ae24d2
burundi #c0d224
cikasav #24d25a
colof #24d260
dagbon #d29c24
damagaram #d224d8
dan-guro #72a224
darul-kuti #24d2cc
dene #24d290
etowah #2496d2
eve-notse #8454de
fipa-nyakyusa #d224a8
futa-callon #d2246c
futa-toro #72d224
gambiya-mandinka #d26024
gonja #de546c
griqua #2460d2
gurma #1e9c84
gyaaman #249c48
hayda #2ad224
hehe #24d236
herero #24a2d2
hidatsa #d22472
ibadan #d85aba
inuit #78d224
jukun-kvararafa #967224
kalusa #d26c24
kamba #d27e24
kanada #243cd2
kanem-tubu #24cc5a
kaonde-ila #d2a824
karagve #d8302a
karga #d224ae
kasance #3024d2
kayor #5a78d8
kazembe #6624d8
kenedugu #ded866
kenya-kuzey-halklari #36a224
klamath #c6d224
kong-vattara #841890
kri #d29624
kru-grebo #d25ae4
lakota #d23c24
liberya #1e728a
liptako #8a1e4e
lozi #24d2a2
maliseet #7224d2
mandan #d84866
mangbetu #b424d2
manica #24d23c
maravi #cc2472
matabele #24d272
matamba #247ed2
merina-oncesi #7824a8
meskalero-apaci #5424a2
metis #2466d2
miami #6ca21e
mikmak #c024de
mohave #b454d8
moritanya-emirlikleri #4212ea
mossi-vagadugu #ea1218
moundville #1e9c78
nama-orlam #24d2a8
navaho #249c42
nez-perce #d8d25a
ngonde #24b4ba
ngoni #2ad872
nijer-deltasi #30188a
nkore #7ea21e
nuu-cah-nulth #de60b4
nuxalk #ea1818
nyamvezi #6c5ad8
occaneechi #1e5496
ojibwe #188490
ovambo #ccd224
ovimbundu #d29024
pavni #90421e
payut #90187e
pedi #6024d2
ponka #3c12ea
rozvi #ba24d2
ruanda #ea1eea
sahaptin #8a6c1e
sakalava-boina #d84e6c
sakalava-menabe #9c3c1e
sauk #846cde
savni #de786c
secwepemc #84e46c
sine-salum #249c12
solima-yalunka #84e472
sosoni #841848
spiro #7296e4
svazi #d27824
tio #cc24a2
tiv #12f012
tlingit #72cce4
toro #ae2472
torva #c024d2
tsvana #d2d224
tuareg-accer #24d26c
tuareg-adag #72e4d2
tuareg-ahaggar #4824d2
tuareg-air #12f0ea
tuareg-ivellemmedan #66f012
tubu-tibesti #d82a24
ute #12f018
vaday #d25424
valo #9612f0
vasulu #bacc24
venda #cc3024
vendat #6cf012
wicita #b4f012
xhosa #d84272
yao #7e24a8
yatenga #baf012
yavapai #f012f0
yeke #d84278
yupik #f0ba12
zende #721ee4
zerma #7ebae4
zuni #78e4ba
