// VERI KIMLIK 3 — PARTI 1b (1550 kesitinin kalan 37'si)
// komsudan dE>=12 · yeniler birbirinden dE>=8 · kirmizi aile elendi
mogulistan #4254ae
mac-hanedani #5a42ae
malay-sultanliklari #78ae42
sind #a8ae42
kesmir #48ae42
malva-sultanligi #8a42ae
arakan #42ae66
ahom #ae9042
bidar #426ca8
ava #428aae
lan-xang #ba7842
pagaruyung #42a8b4
bali-kralliklari #42b490
timor-beylikleri #78903c
filipin-racaliklari #368a78
nepal #8a5a3c
ladak #a8c63c
gond-kralliklari #78c63c
manipur #3cc642
berar #3c3cc6
kalikut #428a36
travankur #723cc6
kandy #a23cc6
yafna #603684
san-devletleri #9066c0
lan-na #36c6c0
campa #305a78
angkor-kmer #36cc72
cohor-sultanligi #7e723c
palembang-sultanligi #303c78
banten-sultanligi #78b46c
banjar-sultanligi #ccb430
gova-makassar #7eb4c6
ternate-sultanligi #36d29c
tidore-sultanligi #72ccc0
banda-adalari #d2d230
magindanao-sultanligi #426c30
